,0
1057,1503866
1058,227404
1059,1449585
1060,242873
1061,158093
1062,132419
1063,174785
1064,1485844
1065,446564
1066,193946
1067,618044
1068,251197
1069,1614984
1070,144790
1071,1260684
1072,162436
1073,393344
1074,512244
1075,1556587
1076,189714
1077,653944
1078,213844
1079,132981
1080,726664
1081,1027304
1082,1260184
1083,1576845
1084,129014
1085,346504
1086,470724
1087,343986
1088,1012144
1089,780404
1090,135898
1091,129634
1092,1615624
1093,1748664
1094,132804
1095,156573
1096,553244
1097,276544
1098,132607
1099,562364
1100,235729
1101,234558
1102,462284
1103,365426
1104,215827
1105,312704
1106,182054
1107,713204
1108,177036
1109,1563684
1110,237533
1111,153430
1112,633704
1113,192445
1114,6923
1115,272133
1116,44822
1117,133345
1118,1301204
1119,1366324
1120,1712864
1121,221853
1122,972825
1123,491
1124,224530
1125,1059804
1126,258062
1127,608584
1128,249894
1129,148160
1130,131597
1131,132150
1132,1751524
1133,495350
1134,39390
1135,1387764
1136,142117
1137,1660704
1138,135806
1139,609184
1140,133113
1141,496264
1142,168077
1143,676964
1144,163242
1145,229439
1146,584264
1147,131619
1148,218929
1149,611726
1150,135514
1151,795824
1152,1070284
1153,438324
1154,146685
1155,178687
1156,499964
1157,4975
1158,1466064
1159,7303
1160,166603
1161,672124
1162,1118484
1163,233534
1164,18519
1165,1629484
1166,196807
1167,1098484
1168,1235144
1169,132470
1170,95908
1171,1240684
1172,93593
1173,214003
1174,125858
1175,1767104
1176,803645
1177,837785
1178,1525924
1179,743344
1180,1486207
1181,133115
1182,702864
1183,20700
1184,538087
1185,136215
1186,656784
1187,238183
1188,162265
1189,1730084
1190,136540
1191,562324
1192,196665
1193,100258
1194,1395865
1195,144881
1196,128244
1197,1467586
1198,1589524
1199,164335
1200,144961
1201,67949
1202,1408344
1203,1835125
1204,1774706
1205,130406
1206,200224
1207,141017
1208,17772
1209,162841
1210,141959
1211,233392
1212,212092
1213,841804
1214,880144
1215,76926
1216,171487
1217,86056
1218,200711
1219,1689004
1220,456264
1221,242280
1222,133399
1223,300941
1224,1229324
1225,878884
1226,419864
1227,135361
1228,704524
1229,143371
1230,667544
1231,20039
1232,202049
1233,249339
1234,228306
1235,1754925
1236,223963
1237,1233664
1238,4741
1239,205421
1240,143913
1241,1515304
1242,477104
1243,1545644
1244,211467
1245,244860
1246,127898
1247,137204
1248,1237084
1249,240113
1250,267043
1251,172957
1252,41436
1253,571664
1254,129085
1255,163138
1256,1316444
1257,1124364
1258,177822
1259,467725
1260,534064
1261,212813
1262,138251
1263,1735204
1264,451124
1265,171325
1266,145300
1267,178693
1268,1626704
1269,189831
1270,184544
1271,1801144
1272,233711
1273,1668804
1274,13553
1275,1516351
1276,57234
1277,167469
1278,568665
1279,81155
1280,239141
1281,62023
1282,129845
1283,1882344
1284,431692
1285,161857
1286,9812
1287,773066
1288,660884
